,Station_id, Avg June Temp,Date
683,USC00513117,76.0,2011-06-08
684,USC00513117,76.0,2011-06-09
685,USC00513117,77.0,2011-06-13
686,USC00513117,77.0,2011-06-14
687,USC00513117,76.0,2011-06-15
688,USC00513117,77.0,2011-06-16
689,USC00513117,76.0,2011-06-17
690,USC00513117,77.0,2011-06-20
691,USC00513117,74.0,2011-06-21
692,USC00513117,76.0,2011-06-22
693,USC00513117,73.0,2011-06-23
694,USC00513117,75.0,2011-06-24
695,USC00513117,76.0,2011-06-27
696,USC00513117,75.0,2011-06-28
697,USC00513117,76.0,2011-06-29
698,USC00513117,75.0,2011-06-30
699,USC00513117,74.0,2012-06-01
700,USC00513117,74.0,2012-06-04
701,USC00513117,74.0,2012-06-05
702,USC00513117,74.0,2012-06-06
703,USC00513117,76.0,2012-06-07
704,USC00513117,76.0,2012-06-08
705,USC00513117,77.0,2012-06-12
706,USC00513117,77.0,2012-06-13
707,USC00513117,78.0,2012-06-14
708,USC00513117,73.0,2012-06-15
709,USC00513117,75.0,2012-06-18
710,USC00513117,72.0,2012-06-19
711,USC00513117,76.0,2012-06-20
712,USC00513117,76.0,2012-06-21
713,USC00513117,73.0,2012-06-22
714,USC00513117,74.0,2012-06-25
715,USC00513117,72.0,2012-06-26
716,USC00513117,76.0,2012-06-27
717,USC00513117,76.0,2012-06-28
718,USC00513117,76.0,2012-06-29
719,USC00513117,78.0,2013-06-03
720,USC00513117,78.0,2013-06-04
721,USC00513117,78.0,2013-06-05
722,USC00513117,78.0,2013-06-06
723,USC00513117,75.0,2013-06-07
724,USC00513117,77.0,2013-06-10
725,USC00513117,73.0,2013-06-12
726,USC00513117,78.0,2013-06-13
727,USC00513117,75.0,2013-06-14
728,USC00513117,73.0,2013-06-17
729,USC00513117,77.0,2013-06-18
730,USC00513117,80.0,2013-06-19
